Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Categorization;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
ROSE;rose;6280;51047;8.745125259;['rose_JJ', 'rose_NN'];Source;Source;-3.022989713;7.799564178;14435.51856;0.761697497;0.995103373;4.9;491.7;0.263157895;0.315789474;3.368421053;0.684210526;3.894736842;4.473684211;Visual;2.8;6.22;7.11
ROSE;roses;54;865;3.988984047;['roses_NN'];Source;Source;-4.00166882;14.66122552;84.2165463;0.699401523;0.762513602;;;;;;;;;;;;
ROSE;rosey;126;178;4.836281907;['rosey_NN', 'rosey_JJ'];Source;Source;-0.498453507;13.4388331;501.9263053;0.871055495;0.916757345;;;;;;;;;;;;
ROSE;rosy;289;2960;5.666426688;['rosy_JJ', 'rosy_NN'];Source;Source;-3.356455778;12.24118734;601.4319814;0.742927095;0.926414581;3.41;;0.058823529;0.117647059;0.529411765;0.470588235;1.235294118;4.117647059;Visual;;;
ROSEMARY;rosemary;408;6181;6.011267174;['rosemary_NN', 'rosemary_JJ'];Source;Source;-3.921199208;11.74368768;686.8837635;0.703890098;0.931311208;4.68;;0.315789474;3.315789474;2.421052632;0.473684211;3.578947368;3;Olfactory;3.59;6.19;6.37
ROSEWOOD;rosewood;304;668;5.717027701;['rosewood_NN', 'rosewood_JJ'];Source;Source;-1.135776779;12.16818551;1103.44639;0.848884657;0.950217628;4.92;;0.4375;0.0625;1.625;0.1875;1.125;2.6875;Visual;;;
ROUND;round;383;79654;5.948034989;['round_NN', 'round_JJ'];Abstract;Abstract;-7.700258609;11.83491244;-359.7090026;0.358133841;0.039581066;3.9;368;0.333333333;0;1.833333333;0.444444444;0.055555556;3.555555556;Visual;2.5;4.78;5.89
ROUND;rounded;280;3139;5.634789603;['rounded_JJ', 'rounded_NN'];Abstract;Abstract;-3.486806297;12.28683;557.3517017;0.73476605;0.923014146;3.5;;0.578947368;0.263157895;2.368421053;0.105263158;0.052631579;3.631578947;Visual;;;
ROUND;rounder;53;1222;3.970291914;['rounder_NN', 'rounder_JJ'];Abstract;Abstract;-4.527108115;14.68819257;69.04382108;0.664173014;0.739526659;;;;;;;;;;;;
ROUND;roundness;38;324;3.63758616;['roundness_NN'];Abstract;Abstract;-3.091922489;15.16818551;81.00493458;0.758433079;0.757752992;4.07;;0.444444444;0.166666667;3.222222222;0.444444444;0;4.277777778;Visual;;;
RUBBERY;rubber;590;14139;6.380122537;['rubber_NN'];Source;Source;-4.582821322;11.21154188;715.4341524;0.659820457;0.933623504;4.86;;0.578947368;0.368421053;4.052631579;0.157894737;2.684210526;4;Haptic;4.14;5.38;4.37
RUBBERY;rubbery;408;764;6.011267174;['rubbery_NN', 'rubbery_JJ'];Source;Source;-0.905003486;11.74368768;1544.057463;0.857045702;0.960963003;3.24;;0.705882353;0.588235294;4.529411765;0;1.058823529;3.647058824;Haptic;;;
RUM;rum;737;4010;6.602587892;['rum_NN'];Source;Source;-2.443865712;10.89059221;1994.809156;0.790805223;0.967763874;4.93;;0.444444444;4.722222222;1.277777778;2.166666667;3.333333333;3.388888889;Gustatory;4.96;6.17;5.57
SAFFRON;saffron;967;1395;6.874198495;['saffron_NN'];Source;Source;-0.528677327;10.49874094;3885.903716;0.870103373;0.982317737;4.44;;0.142857143;2.928571429;1.285714286;0.357142857;3.428571429;3.357142857;Olfactory;3;5.4;6.17
SAFFRON;safran;11;180;2.397895273;['safran_NN'];Source;Source;-4.032421478;16.9566814;14.38409565;0.697769314;0.588275299;;;;;;;;;;;;
SAGE;sage;627;6821;6.440946541;['sage_NN', 'sage_JJ'];Source;Source;-3.443445914;11.12379139;1254.04975;0.73789445;0.95484222;4.54;542.7;0.666666667;2;1.111111111;0;2.333333333;2.444444444;Visual;3.33;5.25;5.79
SALTY;salt;277;51806;5.624017506;['salt_NN'];Source;Source;-7.547089409;12.30237086;-233.7878597;0.373503808;0.060255713;4.89;632.4;0.4375;4.5;2.1875;1;0.875;3.25;Gustatory;4.53;6.04;6.05
SALTY;saltiness;85;121;4.442651256;['saltiness_NN'];Abstract;Abstract;-0.509472301;14.00672209;351.4934971;0.870511425;0.898394995;4;;0.352941176;4.647058824;0.705882353;1;1.294117647;0.764705882;Gustatory;;;
SALTY;salty;1251;3780;7.13169851;['salty_JJ', 'salty_NN'];Abstract;Abstract;-1.595304445;10.12724695;4106.104548;0.830386289;0.983269859;3.93;331.3;0.210526316;4.684210526;0.736842105;0.263157895;0.526315789;1.421052632;Gustatory;3.94;5.14;5.1
SANDALWOOD;sandal__#__wood;11;3;2.397895273;['sandal__#__wood_COLL'];Source;Source;1.874469118;16.9566814;25.75010162;0.923422198;0.630304679;;;;;;;;;;;;
SANDALWOOD;sandalwood;3858;346;8.257904193;['sandalwood_NN'];Source;Source;3.4790092;8.502475594;26239.15397;0.954570185;0.997687704;4.71;;0.176470588;0;1.941176471;0;2.117647059;2.941176471;Visual;;;
SANDALWOOD;sandalwoody;13;1;2.564949357;['sandalwoody_JJ', 'sandalwoody_NN'];Source;Source;3.700439718;16.7156733;104.3736568;0.961099021;0.789717084;;;;;;;;;;;;
SANDALWOOD;sandlewood;50;3;3.912023005;['sandlewood_NN', 'sandlewood_JJ'];Source;Source;4.058893689;14.77225683;345.9218469;0.970756257;0.896898803;;;;;;;;;;;;
SCENTED;scented;284;2113;5.648974238;['scented_JJ', 'scented_NN'];Positive;Evaluative;-2.895329932;12.2663659;682.5117294;0.768498368;0.931039173;3.17;;0.277777778;0.388888889;0.333333333;0.777777778;4.555555556;0.722222222;Olfactory;4.19;5;6.42
SCREECHY;screechy;122;89;4.804021045;['screechy_JJ', 'screechy_NN'];Abstract;Abstract;0.455003907;13.48537568;565.0414923;0.896626768;0.92383025;3;;4.5;0.111111111;0.555555556;1.055555556;0.277777778;0.722222222;Auditory;;;
SEDUCTIVE;seduction;71;1740;4.262679877;['seduction_NN', 'seduction_JJ'];Effect;Evaluative;-4.615124471;14.2663659;82.40903996;0.657644178;0.759249184;2.21;387.9;2.352941176;0.411764706;2.117647059;2.411764706;0.823529412;2.882352941;Visual;7.16;4.9;6.86
SEDUCTIVE;seductive;498;2388;6.210600077;['seductive_JJ', 'seductive_NN'];Effect;Evaluative;-2.261585189;11.45611109;1401.538783;0.798694233;0.957290533;2.48;;2;0.666666667;1.466666667;2.4;0.933333333;3.466666667;Visual;6.52;5.85;6.2
SENSUAL;sensual;1195;2476;7.085901464;['sensual_JJ', 'sensual_NN'];Abstract;Abstract;-1.051000696;10.19331812;4372.101936;0.852285092;0.983949946;2.26;371.9;2.4375;1.0625;3.4375;3.375;1.5;3.25;Haptic;6.35;6.31;7.4
SENSUAL;sensuality;131;940;4.875197323;['sensuality_NN'];Abstract;Abstract;-2.843093945;13.38269002;312.516932;0.771626768;0.89023395;2;;2.5;1.4375;2.625;3.6875;1.3125;3.375;Interoceptive;5.45;6.26;6.71
SENSUAL;sensuous;139;873;4.934473933;['sensuous_JJ', 'sensuous_NN'];Effect;Evaluative;-2.650896771;13.29717195;350.1490943;0.781692057;0.897986942;1.9;;2.111111111;0.333333333;1.888888889;2.777777778;0.444444444;2.5;Interoceptive;5.86;5.61;5.79
SEXY;sexiness;47;335;3.850147602;['sexiness_NN'];Abstract;Abstract;-2.833428434;14.86152417;109.3190174;0.77203482;0.796653972;2.54;;1.888888889;1.166666667;2.777777778;3.055555556;1.333333333;4.555555556;Visual;;;
SEXY;sexy;1626;17655;7.39387829;['sexy_JJ', 'sexy_NN'];Abstract;Abstract;-3.440677659;9.74900148;3261.639017;0.738030468;0.978781284;2.64;543.8;1.555555556;0.055555556;1.833333333;2.111111111;0.444444444;4.333333333;Visual;6.8;6;7.42
SHAMPOO;shampoo;366;3317;5.902633333;['shampoo_NN'];Source;Source;-3.179963459;11.90041318;796.8366668;0.752720348;0.936887922;4.68;624.1;0.15;0.35;2.85;0.55;3.2;4;Visual;3.18;6.32;5.75
SHARP;sharp;2940;38001;7.98616486;['sharp_JJ', 'sharp_NN'];Strong;Evaluative;-3.692149324;8.894512582;5395.897293;0.722116431;0.98789445;3.86;469.5666667;1.142857143;1.095238095;4.476190476;1.142857143;0.380952381;3.714285714;Haptic;6;4.92;5.24
SHARP;sharpish;13;18;2.564949357;['sharpish_JJ'];Strong;Evaluative;-0.469485283;16.7156733;61.01808041;0.872551687;0.721572361;;;;;;;;;;;;
SHARP;sharpness;197;935;5.283203729;['sharpness_NN'];Strong;Evaluative;-2.246770735;12.7940612;564.3543738;0.799646355;0.923422198;2.69;;1;0.714285714;3.476190476;0.666666667;0.285714286;3.095238095;Haptic;;;
SICKENING;sickening;85;23;4.442651256;['sickening_JJ'];Negative;Evaluative;1.88582898;14.00672209;495.9392777;0.92437432;0.916213275;2.32;;1.684210526;0.736842105;0.578947368;2.789473684;1.210526316;2.052631579;Interoceptive;5.05;3.8;2.53
SIMILAR;similar;4948;123484;8.506738734;['similar_JJ', 'similar_NN'];Familiar;Evaluative;-4.641334811;8.143483237;5822.023131;0.654651795;0.988574538;2.46;415;2.294117647;1.470588235;1.617647059;1.029411765;1.323529412;3.5;Visual;3.43;5.8;5.86
SIMILAR;similarity;499;11516;6.212606096;['similarity_NN'];Familiar;Evaluative;-4.528456068;11.45321702;623.4407122;0.663900979;0.928182807;1.9;;2.277777778;1.611111111;1.277777778;1.055555556;1.444444444;3.666666667;Visual;3.14;5.12;6.05
SIMILAR;similiar;39;206;3.663561646;['similiar_JJ'];Familiar;Evaluative;-2.401098308;15.1307108;100.9722565;0.792573449;0.787540805;;;;;;;;;;;;
SKANKY;skanky;125;235;4.828313737;['skanky_JJ', 'skanky_NN'];Negative;Evaluative;-0.910732662;13.45032874;477.7768767;0.85663765;0.914309032;2.42;;1.3125;0.0625;0.4375;1.0625;0.5;4.0625;Visual;;;
SLIGHT;slight;2113;22731;7.655864018;['slight_JJ', 'slight_NN'];Weak;Evaluative;-3.427296481;9.37103597;4267.379526;0.739390642;0.983813928;1.9;316.5666667;1.333333333;0.380952381;0.476190476;0.952380952;0.285714286;1.857142857;Visual;3.78;5.62;4.6
SLIGHT;slightly;40;153;3.688879454;['slightly_JJ', 'slightly_NN'];Weak;Evaluative;-1.935459748;15.09418493;128.1729103;0.813384113;0.809847661;1.79;;1.555555556;0.555555556;1;1.444444444;0.777777778;1.666666667;Visual;;;
SMOKY;smoke;808;32669;6.694562059;['smoke_NN', 'smoke_JJ'];Source;Source;-5.337423191;10.75790154;561.8764189;0.595620239;0.923150163;4.96;475.6;0.142857143;1.476190476;0.142857143;0.952380952;4.380952381;4.285714286;Olfactory;5;4.17;3.44
SMOKY;smokey;609;1381;6.411818268;['smokey_NN', 'smokey_JJ'];Source;Source;-1.181199186;11.1658146;2184.04977;0.847660501;0.9695321;;;;;;;;;;;;
SMOKY;smokiness;175;69;5.164785974;['smokiness_NN', 'smokiness_JJ'];Source;Source;1.342686655;12.96490191;921.0474842;0.912540805;0.943144723;3.69;;0.4375;2;0.4375;0.9375;4.4375;4.0625;Olfactory;;;
SMOKY;smoky;2264;3501;7.724888439;['smoky_JJ', 'smoky_NN'];Source;Source;-0.628893104;9.271454779;8967.420692;0.865614799;0.991566921;4.04;;0.1875;0.9375;0.3125;0.6875;3.8125;3.75;Olfactory;4.87;5.26;3.73
SMOOTH;smooth;2192;25824;7.692569648;['smooth_JJ', 'smooth_NN'];Abstract;Abstract;-3.55839278;9.318080939;4227.409083;0.730005441;0.983541893;3.81;483.9;1.277777778;1.555555556;4.666666667;1.111111111;0.5;3.055555556;Haptic;2.76;6.26;6.42
SMOOTH;smoothe;17;30;2.833213344;['smoothe_JJ', 'smoothe_NN'];Abstract;Abstract;-0.819427754;16.32865018;72.68089741;0.85976605;0.746599565;;;;;;;;;;;;
SMOOTH;smoothed;20;216;2.995732274;['smoothed_JJ'];Abstract;Abstract;-3.432959407;16.09418493;44.30246246;0.738574538;0.682943417;;;;;;;;;;;;
SMOOTH;smoothness;63;688;4.143134726;['smoothness_JJ', 'smoothness_NN'];Abstract;Abstract;-3.448984831;14.4388331;122.1610593;0.736942329;0.805903156;3.87;;0.5;1.8125;4.125;0.8125;0.125;2.875;Haptic;;;
SOAPY;soap;1158;12999;7.054449658;['soap_NN'];Source;Source;-3.488693484;10.23869348;2283.23453;0.734630033;0.970348205;4.93;;0.095238095;0.666666667;3.952380952;0.095238095;3.380952381;3.80952381;Haptic;2.62;5.32;7.1
SOAPY;soap__#__bar;12;46;2.48490665;['soap__#__bar_COLL'];Source;Source;-1.938599455;16.83115052;13.952019;0.813112078;0.586371055;;;;;;;;;;;;
SOAPY;soapiness;136;2;4.912654886;['soapiness_NN', 'soapiness_JJ'];Source;Source;6.087462841;13.32865018;1188.566694;0.994559304;0.953346028;3.21;;0;0.35;3.2;0.4;1.2;3.65;Visual;;;
