Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Arousal;Dominance;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Valence
CEDAR;cedar;1732;6376;7.457032089;['cedar_NN'];Source;Source;-1.880212699;8.707610195;7423.253745;0.771174377;0.974377224;4.83;;3.21;5.1;0.133333333;0;2.2;0;2.466666667;3.466666667;Visual;6.32
CEDAR;cedar__#__wood;37;35;3.610917913;['cedar__#__wood_COLL'];Source;Source;0.080170349;14.25638004;157.4241076;0.866548043;0.662989324;;;;;;;;;;;;
CEDAR;cedary;115;5;4.744932128;['cedary_JJ', 'cedary_NN'];Source;Source;4.523561956;12.62034336;985.3326766;0.980427046;0.877580071;;;;;;;;;;;;
CHALKY;chalk;156;3112;5.049856007;['chalk_NN'];Source;Source;-4.318224126;12.18043119;409.3936588;0.606761566;0.787188612;4.9;651.7;2.9;5.48;1.363636364;0.590909091;3.590909091;0.272727273;1.227272727;4.136363636;Visual;5
CHALKY;chalky;456;572;6.12249281;['chalky_JJ', 'chalky_NN'];Source;Source;-0.326981323;10.6329434;2453.788954;0.848398577;0.928469751;4.14;;;;0.444444444;2.388888889;2.666666667;0.444444444;0.722222222;2.333333333;Haptic;
CHALKY;chalkiness;24;10;3.17805383;['chalkiness_NN'];Source/Abstract;Abstract;1.263034406;14.88087091;167.9530508;0.913879004;0.67366548;3.37;;;;0.111111111;2.666666667;2.833333333;0.388888889;0.5;2.666666667;Haptic;
CHARD;chard;306;369;5.723585102;['chard_NN'];Source;Source;-0.270089163;11.20844557;1640.703942;0.850533808;0.908185053;;;;;;;;;;;;
CHARD;chards;21;4;3.044522438;['chards_NN'];Source;Source;2.392317423;15.07351599;166.5773174;0.944839858;0.671886121;;;;;;;;;;;;
CHERRY;cherry;15435;13928;9.644392937;['cherry_NN'];Source;Source;0.148217375;5.551915548;87767.47779;0.869395018;0.999288256;4.62;661.8;4.91;5.63;0.142857143;4.285714286;2.678571429;0.5;2.321428571;3.5;Gustatory;7.05
CHERRY;cherry__#__candy;155;11;5.043425117;['cherry__#__candy_COLL'];Source;Source;3.816692787;12.189709;817.0118819;0.968327402;0.860498221;;;;;;;;;;;;
CHERRY;cherry__#__jam;275;15;5.616771098;['cherry__#__jam_COLL'];Source;Source;4.196397213;11.3625456;1518.770577;0.976156584;0.904626335;;;;;;;;;;;;
CHERRY;cherry__#__pie;432;295;6.068425588;['cherry__#__pie_COLL'];Source;Source;0.550316358;10.71094591;1937.920215;0.886120996;0.917793594;;;;;;;;;;;;
CHEWY;chewiness;16;20;2.772588722;['chewiness_NN'];Composition;Abstract;-0.321928095;15.46583341;96.5001678;0.848754448;0.586476868;;;;;;;;;;;;
CHEWY;chewy;944;1007;6.850126166;['chewy_JJ', 'chewy_NN'];Composition;Abstract;-0.093204919;9.583190361;5221.597658;0.856939502;0.965124555;3.19;400;3.82;5.53;0.444444444;3.555555556;2.333333333;1.055555556;0.555555556;1.333333333;Gustatory;5.37
CHOCOLATE;chocolate;3945;27965;8.280204233;['chocolate_NN', 'chocolate_JJ'];Source;Source;-2.825525125;7.520023825;14310.8716;0.715658363;0.985765125;4.72;685.3;5.14;5.88;0.611111111;4.555555556;2.444444444;1.111111111;3.444444444;3.388888889;Gustatory;7.63
CHOCOLATE;chocolatey;31;112;3.433987204;['chocolatey_JJ', 'chocolatey_NN'];Source;Source;-1.853158612;14.5116371;124.6928172;0.772597865;0.627046263;;;;;;;;;;;;
CHOCOLATE;chocolaty;540;120;6.29156914;['chocolaty_NN', 'chocolaty_JJ'];Source;Source;2.169925001;10.38901781;3841.881029;0.941281139;0.953024911;3.45;;;;0.052631579;4.368421053;0.789473684;0.789473684;2.684210526;2.631578947;Gustatory;
