Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Arousal;Dominance;Valence
CHEWY;chewy;443;1007;6.09356977;['chewy_JJ', 'chewy_NN'];Composition;Abstract;-1.184685079;10.70697537;1876.869454;0.91148983;0.958493678;3.19;400;0.444444444;3.555555556;2.333333333;1.055555556;0.555555556;1.333333333;Gustatory;3.82;5.53;5.37
CHICKEN;chicken;1880;54088;7.539027056;['chicken_NN'];Source;Source;-4.846503985;8.621621315;3232.824989;0.674271578;0.978559648;4.8;;2.947368421;4;2.684210526;0.578947368;3;3.947368421;Gustatory;3.2;5.22;6.17
CHILI;chili;569;5107;6.343880434;['chili_NN'];Source;Source;-3.165975501;10.34585342;1645.972557;0.802638813;0.953820781;4.79;;0.5;4.2;1.95;1;3.3;3.45;Gustatory;4.62;6.3;4.45
CHILI;chili__#__pepper;44;476;3.784189634;['chili__#__pepper_COLL'];Source;Source;-3.435386145;14.03870664;106.4782322;0.783672347;0.757833975;;;;;;;;;;;;
CHILI;chilie;13;790;2.564949357;['chilie_NN'];Source;Source;-5.925269125;15.79769854;14.5502601;0.575041231;0.515393073;;;;;;;;;;;;
CHILI;chilli;15;307;2.708050201;['chilli_NN'];Source;Source;-4.35520425;15.59124767;26.75794396;0.716052776;0.569818582;;;;;;;;;;;;
CHIPOTLE;chipotle;223;1266;5.407171771;['chipotle_NN', 'chipotle_JJ'];Source;Source;-2.50516179;11.69723836;738.2847765;0.844694887;0.921385377;;;;;;;;;;;;
CHIPS;chip;2017;35146;7.609366538;['chip_NN'];Source;Source;-4.123077515;8.520142893;4480.567573;0.734194612;0.985981308;4.71;630.3;1.75;2.95;2.25;0.35;1.25;3.45;Visual;2.75;4.58;6.32
CHIPS;chips;101;750;4.615120517;['chips_NN'];Source;Source;-2.892535303;12.83992678;316.4312686;0.822429907;0.868884002;4.9;655.2;1.666666667;4.444444444;3;0.444444444;2.388888889;3.722222222;Gustatory;;;
CHOCOLATE;choclate;20;4;2.995732274;['choclate_NN'];Source;Source;2.321928095;15.17621017;147.1038545;0.978559648;0.796041781;;;;;;;;;;;;
CHOCOLATE;chocolate;6384;27965;8.761550139;['chocolate_NN', 'chocolate_JJ'];Source;Source;-2.131089774;6.857893325;22989.23;0.863936229;0.998075866;4.72;685.3;0.611111111;4.555555556;2.444444444;1.111111111;3.444444444;3.388888889;Gustatory;5.14;5.88;7.63
CHOCOLATE;chocolately;29;1;3.36729583;['chocolately_JJ'];Source;Source;4.857980995;14.64015727;261.7762995;0.997526113;0.853765805;;;;;;;;;;;;
CHOCOLATE;chocolatey;238;112;5.472270674;['chocolatey_NN', 'chocolatey_JJ'];Source;Source;1.087462841;11.6033205;1376.085964;0.963716328;0.948048378;;;;;;;;;;;;
CHOCOLATE;chocolaty;182;107;5.204006687;['chocolaty_NN'];Source;Source;0.766327654;11.99034362;1009.490181;0.958768554;0.934579439;3.45;;0.052631579;4.368421053;0.789473684;0.789473684;2.684210526;2.631578947;Gustatory;;;
CHOCOLATE;chocolate__#__chip;173;1107;5.153291594;['chocolate__#__chip_COLL'];Source;Source;-2.677811279;12.06351003;527.3407431;0.833974711;0.90626718;;;;;;;;;;;;
CHOCOLATE;dark__#__chocolate;742;806;6.609349243;['dark__#__chocolate_COLL'];Source;Source;-0.119360652;9.962862885;2173.599535;0.942550852;0.965365585;;;;;;;;;;;;
CHOCOLATE;milk__#__chocolate;246;347;5.505331536;['milk__#__chocolate_COLL'];Source;Source;-0.496277347;11.55562376;822.5106233;0.932930181;0.927157779;;;;;;;;;;;;
CINNAMON;cinammon;18;10;2.890371758;['cinammon_NN', 'cinammon_JJ'];Source;Source;0.847996907;15.32821326;90.63820149;0.959868059;0.736393623;;;;;;;;;;;;
CINNAMON;cinamon;12;13;2.48490665;['cinamon_NN', 'cinamon_JJ'];Source;Source;-0.115477217;15.91317576;69.95881509;0.943100605;0.695162177;;;;;;;;;;;;
CINNAMON;cinnamon;2038;6335;7.619724214;['cinnamon_NN', 'cinnamon_JJ'];Source;Source;-1.636190568;8.505199926;8027.90738;0.892523364;0.993677845;4.85;;0.133333333;4.333333333;1.2;0.733333333;3.066666667;2.066666667;Gustatory;3.72;5.91;6.75
CINNAMON;cinnamony;32;16;3.465735903;['cinnamony_NN'];Source;Source;1;14.49813826;196.1884357;0.961517317;0.824354041;;;;;;;;;;;;
CINNAMON;cinnimon;14;1;2.63905733;['cinnimon_NN'];Source;Source;3.807354922;15.69078334;92.5938991;0.992303463;0.739692139;;;;;;;;;;;;
CITRUS;citric;120;227;4.787491743;['citric_JJ', 'citric_NN'];Category;Abstract;-0.919657892;12.59124767;541.6364037;0.919736119;0.908191314;3.19;;0.625;3.625;0.8125;0.25;2.3125;1.8125;Gustatory;;;
CITRUS;citron;11;298;2.397895273;['citron_NN'];Category;Abstract;-4.759736902;16.03870664;16.00112443;0.681968114;0.519516218;;;;;;;;;;;;
CITRUS;citrus;503;3143;6.22059017;['citrus_NN', 'citrus_JJ'];Category;Abstract;-2.643511967;10.52372367;1625.623789;0.836173722;0.953271028;4.21;;0.3125;4.46875;1.8125;0.25;3.3125;3.1875;Gustatory;4.16;6.46;6.36
CITRUS;citrusy;58;168;4.060443011;['citrusy_JJ', 'citrusy_NN'];Category;Abstract;-1.534336428;13.64015727;224.7604777;0.896096756;0.838097856;;;;;;;;;;;;
CLEAN;clean;1002;64041;6.909753282;['clean_JJ', 'clean_NN'];Abstract;Abstract;-5.998041422;9.529471468;919.5754277;0.567069819;0.930731171;3.07;323.2;0.1875;0.625;2.875;1.1875;2.6875;4.6875;Visual;3.57;6.11;7.09
COCOA;cocoa;879;3883;6.778784898;['cocoa_NN'];Source;Source;-2.143236637;9.718418907;3149.765229;0.862836723;0.977735019;4.89;;0.235294118;4.647058824;1.294117647;0.294117647;3.823529412;3.470588235;Gustatory;5;6.32;7.33
COCOA;cocoa__#__powder;43;444;3.761200116;['cocoa__#__powder_COLL'];Source;Source;-3.368151112;14.07187351;111.8090873;0.788345245;0.763881253;;;;;;;;;;;;
COCOA;cocoas;25;23;3.218875825;['cocoas_NN'];Source;Source;0.120294234;14.85428207;139.3330285;0.947773502;0.78944475;;;;;;;;;;;;
COCONUT;coco;119;1470;4.779123493;['coco_NN'];Source;Source;-3.626782676;12.6033205;299.8951888;0.771028037;0.86531061;;;;;;;;;;;;
COCONUT;coconut;2928;5752;7.982074875;['coconut_NN', 'coconut_JJ'];Source;Source;-0.974148122;7.982438423;12897.48761;0.918636614;0.996426608;4.79;;0.476190476;4.380952381;3;0.333333333;3.380952381;3.666666667;Gustatory;4.67;5.76;6.55
COCONUT;coconutty;57;9;4.043051268;['coconutty_JJ', 'coconutty_NN'];Source;Source;2.662965013;13.66524825;408.4527295;0.98213304;0.88840022;;;;;;;;;;;;
COCONUT__#__OIL;coconut__#__oil;201;633;5.303304908;['coconut__#__oil_COLL'];Source;Source;-1.655009998;11.84708657;558.9142411;0.890874107;0.909290819;;;;;;;;;;;;
COFFEE;coffe;74;33;4.304065093;['coffe_NN'];Source;Source;1.165059246;13.2886849;423.6954091;0.966190214;0.889774601;;;;;;;;;;;;
COFFEE;coffee;17811;68567;9.787571523;['coffee_NN', 'coffee_JJ'];Source;Source;-1.944745883;5.377657363;66411.64524;0.874656405;0.999725124;4.81;673.5;1;4.611111111;1.722222222;1.555555556;4.277777778;4;Gustatory;5.1;6.12;7
COFFEE;coffees;13;35;2.564949357;['coffees_NN'];Source;Source;-1.428843299;15.79769854;61.30053336;0.901319406;0.676470588;;;;;;;;;;;;
COFFEE;decaf;734;769;6.598509029;['decaf_NN', 'decaf_JJ'];Composition;Abstract;-0.067203535;9.978502009;3682.339899;0.943925234;0.981033535;3.67;;0.6;2.85;0.35;1.4;1.3;1.95;Gustatory;3;5.41;3.62
COFFEE;decafe;11;4;2.397895273;['decafe_NN', 'decafe_JJ'];Composition;Abstract;1.459431619;16.03870664;54.79831656;0.970588235;0.658878505;;;;;;;;;;;;
COFFEE;decaff;19;2;2.944438979;['decaff_NN'];Composition;Abstract;3.247927513;15.25021075;124.5826764;0.987630566;0.775151182;;;;;;;;;;;;
COFFEE;decaffeinated;49;75;3.891820298;['decaffeinated_JJ', 'decaffeinated_NN'];Composition;Abstract;-0.614108846;13.88342842;237.2230888;0.929356789;0.844969764;2.78;;0.575757576;3;0.696969697;1.606060606;1.424242424;2.03030303;Gustatory;;;
COFFEE;decafs;40;5;3.688879454;['decafs_NN', 'decafs_JJ'];Composition;Abstract;3;14.17621017;300.5747837;0.986256185;0.865860363;;;;;;;;;;;;
COFFEE;coffee__#__bean;87;536;4.465908119;['coffee__#__bean_COLL'];Source;;-2.623145695;13.05519477;246.2302135;0.83782298;0.848818032;;;;;;;;;;;;
COFFEE;espresso;509;2000;6.232448017;['espresso_NN'];Source;Source;-1.974262439;10.50661642;1895.118354;0.873282023;0.959593183;4.41;;0.777777778;4;1.388888889;0.5;3.277777778;3.5;Gustatory;5.25;6.3;6.68
COLA;cola;361;5678;5.888877958;['cola_NN'];Source;Source;-3.975312107;11.00228323;842.7497115;0.746014294;0.928257284;4.79;628.6;1.5;4.45;1.45;1.65;1.55;2.9;Gustatory;4.29;6;5.67
COMBINATION;combination;815;40187;6.703188113;['combination_NN'];Composition;Abstract;-5.623785013;9.827482013;958.5190345;0.608026388;0.932930181;2.86;;1.631578947;0.526315789;1.210526316;0.157894737;0.315789474;3.947368421;Visual;3.5;5.96;5.47
COOKIE;cookie;2111;25179;7.654917048;['cookie_NN'];Source;Source;-3.576222503;8.454427398;5479.714277;0.775426058;0.9895547;5;;0.45;4;2.8;0.55;3.35;4;Visual;4.7;6.1;7.32
COOKIE;cookies;24;1117;3.17805383;['cookies_NN'];Source;Source;-5.54045097;14.91317576;32.15557695;0.613523914;0.591258933;;;;;;;;;;;;
CORN;corn;622;26845;6.432940093;['corn_NN'];Source;Source;-5.431595014;10.21736749;813.5678181;0.62424409;0.926058274;4.96;596.7666667;0.631578947;4.578947368;3.052631579;1.263157895;2.842105263;4.105263158;Gustatory;3.43;5.65;5.95
CRACKER;cracker;616;6093;6.423246964;['cracker_NN'];Source;Source;-3.306150484;10.23135172;1721.409362;0.792468389;0.95684442;4.96;;1.157894737;4.526315789;2.631578947;0.631578947;1.578947368;3.315789474;Gustatory;3.64;5.26;5.11
CRACKER;crackers;15;188;2.708050201;['crackers_NN'];Source;Source;-3.647698256;15.59124767;33.13321917;0.769928532;0.595107202;4.93;;1.1;4.5;2.55;0.65;2;3.95;Gustatory;;;
CRANBERRY;cranberry;322;4075;5.774551546;['cranberry_JJ', 'cranberry_NN'];Source;Source;-3.661667466;11.16722138;812.4884634;0.768829027;0.925783397;4.96;;0.052631579;4.473684211;1.736842105;0.263157895;2.368421053;3.210526316;Gustatory;3.64;5.74;6.36
CREAMY;creamer;677;734;6.517671273;['creamer_NN'];Source;Source;-0.116624229;10.09512624;3392.462694;0.942825728;0.979384277;4.66;;0.235294118;4.058823529;1.529411765;0.705882353;2.588235294;3.764705882;Gustatory;2.81;6.09;5.47
CREAMY;cream;594;39251;6.386879319;['cream_NN'];Source;Source;-6.046122669;10.28381914;524.6588439;0.561572292;0.905442551;4.83;432.5;0.272727273;4.181818182;2.272727273;0.681818182;2.227272727;3.545454545;Gustatory;3.8;6.11;6.56
CREAMY;creaminess;39;115;3.663561646;['creaminess_NN'];Source;Source;-1.560087832;14.21273604;147.8420265;0.894172622;0.797141286;3.19;;0.263157895;3.368421053;2.947368421;0.473684211;0.631578947;3.105263158;Gustatory;;;
CREAMY;creamy;1003;4552;6.910750788;['creamy_JJ', 'creamy_NN'];Source;Source;-2.182178952;9.528032371;3568.09427;0.861462342;0.980483782;3.62;;0.470588235;3.588235294;3;1.411764706;1.352941176;3.294117647;Gustatory;3.12;6.06;6.48
CRISP;crisp;515;8840;6.244166901;['crisp_JJ', 'crisp_NN'];Composition;Abstract;-4.101402032;10.48970964;1146.15777;0.736393623;0.940351842;3.69;556.1666667;2.2;2.4;3.15;0.8;0.7;1.95;Haptic;3.95;6.14;5.23
CRISP;crisper;14;345;2.63905733;['crisper_NN', 'crisper_JJ'];Composition;Abstract;-4.62309763;15.69078334;22.47136609;0.69268829;0.554425509;3.85;;2.421052632;2;2.052631579;0.263157895;0.421052632;3;Visual;;;
CRISP;crispiness;30;41;3.401197382;['crispiness_NN', 'crispiness_JJ'];Composition;Abstract;-0.450661409;14.59124767;133.4123348;0.934579439;0.7842221;3.36;;2.833333333;3.166666667;2.888888889;0.5;0.444444444;3.222222222;Visual;;;
CRISP;crispness;33;232;3.496507561;['crispness_NN'];Composition;Abstract;-2.813586876;14.45374414;109.4404891;0.826278175;0.76113249;3.58;;2.333333333;2.333333333;3.055555556;0.944444444;1;3.166666667;Visual;;;
CRISP;crispy;244;2101;5.497168225;['crispy_JJ', 'crispy_NN'];Composition;Abstract;-3.106123109;11.56740092;719.3287114;0.807586586;0.920835624;4.04;;2.294117647;3.058823529;3.411764706;0.411764706;0.411764706;3.058823529;Haptic;5;6.08;6.18
CRUNCHY;crunch;725;5091;6.586171655;['crunch_NN', 'crunch_JJ'];Composition;Abstract;-2.811896165;9.996301077;2274.087282;0.827102804;0.96728972;3.36;471.9;4.05;1.2;1.9;1.3;0.05;1.55;Auditory;4.17;5;4.79
CRUNCHY;crunchi;19;31;2.944438979;['crunchi_JJ'];Composition;Abstract;-0.706268797;15.25021075;77.98839595;0.925783397;0.711379879;;;;;;;;;;;;
CRUNCHY;crunchiness;34;28;3.526360525;['crunchiness_NN'];Composition;Abstract;0.280107919;14.41067542;168.6802222;0.952171523;0.80951072;2.97;;3.8;3.7;3.05;1.5;0.15;1.45;Auditory;;;
CRUNCHY;crunchy;660;1912;6.492239835;['crunchy_JJ', 'crunchy_NN'];Composition;Abstract;-1.534544594;10.13181605;2656.894413;0.89582188;0.971687741;3.81;482.4;3.375;3.25;2.8125;1.125;0.5;2;Auditory;4.45;5.52;5.86
DECENT;decent;842;21314;6.735780014;['decent_JJ'];Positive;Evaluative;-4.661837326;9.780461839;1550.439685;0.688840022;0.952721275;2.04;297;1.473684211;0.368421053;0.684210526;0.947368421;0.210526316;2.157894737;Visual;4.15;6.74;6.27
DELICATE;delicate;692;12330;6.539585956;['delicate_JJ'];Positive;Evaluative;-4.155256952;10.06351003;1524.646024;0.731445849;0.952171523;2.3;;0.842105263;0.526315789;3.526315789;1.263157895;0.263157895;3.157894737;Haptic;3.09;5.04;6.38
DELICIOUS;delicious;3676;14896;8.209580483;['delicious_JJ', 'delicious_NN'];Positive;Evaluative;-2.018716306;7.65421721;13527.07129;0.869983507;0.996701484;2.43;385.3;0.611111111;4.5;0.611111111;2.333333333;3.277777778;2.722222222;Gustatory;4.92;5.8;7.38
DELICIOUS;deliciousness;20;162;2.995732274;['deliciousness_NN'];Positive;Evaluative;-3.017921908;15.17621017;65.67521107;0.815283123;0.688565146;2.48;;0.944444444;4.888888889;0.722222222;1.888888889;2.111111111;1.944444444;Gustatory;;;
DELICIOUS;delicous;15;12;2.708050201;['delicous_JJ'];Positive;Evaluative;0.321928095;15.59124767;68.90317824;0.953271028;0.694337548;;;;;;;;;;;;
DELIGHTFUL;delight;77;8475;4.343805422;['delight_NN'];Positive;Evaluative;-6.782211112;13.23135172;29.70640302;0.490379329;0.580538758;2.3;434.0666667;2.428571429;0.428571429;0.19047619;3.380952381;0.380952381;2.571428571;Interoceptive;5.02;7.29;8.21
DELIGHTFUL;delighted;46;6021;3.828641396;['delighted_JJ'];Positive;Evaluative;-7.032225446;13.97457631;8.920282243;0.460417812;0.483782298;2.86;414.55;1.857142857;0.666666667;0.476190476;3.761904762;0.428571429;2.619047619;Interoceptive;5;6.22;7.74
DELIGHTFUL;delightful;318;4784;5.762051383;['delightful_JJ', 'delightful_NN'];Positive;Evaluative;-3.911118719;11.18525531;747.6939249;0.750962067;0.922759758;2.38;384.9;2;1.789473684;1.736842105;2.842105263;1.894736842;2.578947368;Interoceptive;6.16;6.76;7.38
DIFFERENT;difference;1502;176299;7.314552832;['difference_NN'];Unfamiliar;Evaluative;-6.874995668;8.945469164;467.5755966;0.481858164;0.896096756;2.15;;2.611111111;1.833333333;2.222222222;1.777777778;1.444444444;3.666666667;Visual;3.15;5.44;4.89
DIFFERENT;different;6432;393667;8.769040811;['different_JJ'];Unfamiliar;Evaluative;-5.935564564;6.84708657;6195.176907;0.57366685;0.991478835;1.97;314;2.142857143;1.047619048;1.333333333;2;1.095238095;3.428571429;Visual;3.95;6.47;5.91
DISAPPOINTED;disappointed;322;10751;5.774551546;['disappointed_JJ'];Effect;Evaluative;-5.061266359;11.16722138;502.0474948;0.658053876;0.900769654;1.92;349.35;1.125;0.25;0.3125;4.25;0.1875;0.9375;Interoceptive;4.47;4.08;2.65
DISAPPOINTED;disappointing;136;7147;4.912654886;['disappointing_JJ', 'disappointing_NN'];Effect;Evaluative;-5.715659232;12.41067542;153.9124829;0.597031336;0.801264431;1.81;;1.529411765;0.411764706;0.294117647;2.352941176;0.294117647;1.411764706;Interoceptive;4.1;4.26;2.79
DISAPPOINTED;disappointment;82;11833;4.406719247;['disappointment_NN'];Effect;Evaluative;-7.172976259;13.14058626;8.413812655;0.446948873;0.480483782;1.93;;1.818181818;0.090909091;0.227272727;4.090909091;0.136363636;2.181818182;Interoceptive;4.9;4.08;2.79
